phrase|type
36 37|co-occurring
36 b|co-occurring
36 line|co-occurring
37 38|co-occurring
37 line|co-occurring
38 39|co-occurring
38 line|co-occurring
38 unit|co-occurring
39 40|co-occurring
39 line|co-occurring
39 unit|co-occurring
3d day|co-occurring
3d march|co-occurring
3day rule|co-occurring
4 15|co-occurring
4 1887|co-occurring
4 1995|co-occurring
4 30|co-occurring
4 45|co-occurring
4 addit|co-occurring
4 articl|co-occurring
4 b|co-occurring
4 begin|co-occurring
4 committe|co-occurring
4 follow|co-occurring
4 h|co-occurring
4 hour|co-occurring
4 hous|co-occurring
4 insert|co-occurring
4 line|co-occurring
4 member|co-occurring
4 minut|co-occurring
4 mr|co-occurring
4 oclock|co-occurring
4 p|co-occurring
4 page|co-occurring
4 print|co-occurring
4 propos|co-occurring
4 read|co-occurring
4 report|co-occurring
4 section|co-occurring
4 senat|co-occurring
4 shall|co-occurring
4 strike|co-occurring
4 subsect|co-occurring
4 vote|co-occurring
4 word|co-occurring
40 line|co-occurring
40 m|co-occurring
40 minut|co-occurring
40 p|co-occurring
40 second|co-occurring
40 senat|co-occurring
401 b|co-occurring
41 42|co-occurring
41 line|co-occurring
42 43|co-occurring
42 line|co-occurring
424 senat|co-occurring
43 44|co-occurring
43 line|co-occurring
44 45|co-occurring
44 line|co-occurring
45 line|co-occurring
45 m|co-occurring
45 minut|co-occurring
45 p|co-occurring
45 second|co-occurring
46 line|co-occurring
47 line|co-occurring
48 line|co-occurring
485 russel|co-occurring
49 50|co-occurring
49 line|co-occurring
49 stat|co-occurring
4th day|co-occurring
4th march|co-occurring
5 30|co-occurring
5 45|co-occurring
5 addit|co-occurring
5 articl|co-occurring
5 b|co-occurring
5 bill|co-occurring
5 committe|co-occurring
5 constitut|co-occurring
5 d|co-occurring
5 follow|co-occurring
5 h|co-occurring
5 hour|co-occurring
5 insert|co-occurring
5 legisl|co-occurring
5 line|co-occurring
5 member|co-occurring
5 oclock|co-occurring
5 p|co-occurring
5 page|co-occurring
5 print|co-occurring
5 propos|co-occurring
5 read|co-occurring
5 rule|co-occurring
5 section|co-occurring
5 shall|co-occurring
5 strike|co-occurring
5 unit|co-occurring
5 vote|co-occurring
5 word|co-occurring
50 amend|co-occurring
50 line|co-occurring
50 m|co-occurring
50 minut|co-occurring
50 p|co-occurring
50 senat|co-occurring
500 copi|co-occurring
500 insert|co-occurring
500 senat|co-occurring
51 line|co-occurring
51 senat|co-occurring
52 53|co-occurring
52 line|co-occurring
53 line|co-occurring
54 line|co-occurring
55 line|co-occurring
55 minut|co-occurring
56 line|co-occurring
57 line|co-occurring
58 line|co-occurring
59 line|co-occurring
5minut rule|co-occurring
5minut vote|co-occurring
5th day|co-occurring
5to4 decis|co-occurring
6 15|co-occurring
6 1999|co-occurring
6 30|co-occurring
6 45|co-occurring
6 bill|co-occurring
6 committe|co-occurring
6 follow|co-occurring
6 h|co-occurring
6 hous|co-occurring
6 insert|co-occurring
6 line|co-occurring
6 member|co-occurring
6 minut|co-occurring
6 oclock|co-occurring
6 p|co-occurring
6 page|co-occurring
6 print|co-occurring
6 propos|co-occurring
6 read|co-occurring
6 report|co-occurring
6 rule|co-occurring
6 section|co-occurring
6 senat|co-occurring
6 strike|co-occurring
6 vote|co-occurring
6 will|co-occurring
6 word|co-occurring
60 line|co-occurring
60 minut|co-occurring
60 second|co-occurring
60 senat|co-occurring
60 vote|co-occurring
60vote threshold|co-occurring
67 vote|co-occurring
6th day|co-occurring
7 30|co-occurring
7 amend|co-occurring
7 bill|co-occurring
7 c|co-occurring
7 committe|co-occurring
7 follow|co-occurring
7 hous|co-occurring
7 insert|co-occurring
7 line|co-occurring
7 minut|co-occurring
7 oclock|co-occurring
7 p|co-occurring
7 print|co-occurring
7 propos|co-occurring
7 report|co-occurring
7 rule|co-occurring
7 section|co-occurring
7 strike|co-occurring
7 u|co-occurring
7 vote|co-occurring
7 will|co-occurring
7 word|co-occurring
7th day|co-occurring
8 30|co-occurring
8 45|co-occurring
8 amend|co-occurring
8 bill|co-occurring
8 claus|co-occurring
8 committe|co-occurring
8 follow|co-occurring
8 insert|co-occurring
8 line|co-occurring
8 minut|co-occurring
8 oclock|co-occurring
8 p|co-occurring
8 page|co-occurring
8 propos|co-occurring
8 report|co-occurring
8 rule|co-occurring
8 section|co-occurring
8 senat|co-occurring
8 strike|co-occurring
8 vote|co-occurring
8 will|co-occurring
8 word|co-occurring
8th day|co-occurring
9 15|co-occurring
9 30|co-occurring
9 40|co-occurring
9 45|co-occurring
9 bill|co-occurring
9 committe|co-occurring
9 insert|co-occurring
9 line|co-occurring
9 m|co-occurring
9 oclock|co-occurring
9 p|co-occurring
9 propos|co-occurring
9 report|co-occurring
9 rule|co-occurring
9 section|co-occurring
9 senat|co-occurring
9 strike|co-occurring
9 will|co-occurring
9 word|co-occurring
90 minut|co-occurring
96 senat|co-occurring
9th day|co-occurring
abid decis|co-occurring
abid rule|co-occurring
abl amend|co-occurring
abl ask|co-occurring
abl chairman|co-occurring
abl committe|co-occurring
abl conclud|co-occurring
abl dispos|co-occurring
abl finish|co-occurring
abl hear|co-occurring
abl major|co-occurring
abl member|co-occurring
abl minor|co-occurring
abl offer|co-occurring
abl present|co-occurring
abl proceed|co-occurring
abl senat|co-occurring
abl senior|co-occurring
abl speak|co-occurring
abl vote|co-occurring
abl yield|co-occurring
abort amend|co-occurring
abridg unit|co-occurring
absenc gentleman|co-occurring
absenc object|co-occurring
absenc senat|co-occurring
absenc withhold|co-occurring
absent also|co-occurring
absent announc|co-occurring
absent attend|co-occurring
absent busi|co-occurring
absent chamber|co-occurring
absent citi|co-occurring
absent death|co-occurring
absent due|co-occurring
absent floor|co-occurring
absent hous|co-occurring
absent ill|co-occurring
absent import|co-occurring
absent leav|co-occurring
absent offici|co-occurring
absent pair|co-occurring
absent present|co-occurring
absent public|co-occurring
absent rollcal|co-occurring
absent therefor|co-occurring
absent time|co-occurring
absent today|co-occurring
absent vote|co-occurring
absente clerk|co-occurring
absente spread|co-occurring
absente vote|co-occurring
abund caution|co-occurring
academi appropri|co-occurring
academi bill|co-occurring
academi fiscal|co-occurring
acced request|co-occurring
